trackname,artistname,track_id,track_popularity,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1648,625,5092,0.25555555555555554,23,5,0,0.37427578215527235,0.40539983511953837,0.7272727272727273,0.47966702289217616,1.0,0.02328215454316636,0.014963216328112067,4.928716904277486e-05,0.06115705829887294,0.5415711606584707,0.25282683914154547,0.4228788513138655
243,2170,1423,0.8333333333333333,234,5,2,0.19466975666280417,0.8722176422093982,1.0,0.7934641993362956,0.0,0.024918197835388872,0.007602235230666637,0.0004694501018329966,0.397956701532474,0.5874140445926235,0.21424613853773267,0.6373170374556323
741,2170,5805,0.8333333333333333,37,5,15,0.2827346465816918,0.6753915910964552,0.36363636363636365,0.7825524495190955,0.0,0.010571356657437692,0.3265915644369971,0.0,0.33511716532879277,0.17586997291102313,0.22635066374183047,0.6409180249429225
849,415,7028,0.8111111111111111,54,5,0,0.17844727694090384,0.9433223413025557,0.36363636363636365,0.8460543337645536,1.0,0.09451296249685379,0.005064314550091348,2.08757637474577e-05,0.10808400227033166,0.5988747655761617,0.617568239896877,0.49091194080026074
1935,2170,6752,0.8333333333333333,234,5,2,0.32213209733487835,0.9433223413025557,0.9090909090909092,0.7811744192586759,0.0,0.06758117291719104,0.001798384749988502,4.623217922605782e-06,0.29254844725533125,0.2435924150864764,0.38571654718559895,0.5376484685491073
2209,2971,4767,0.055555555555555525,263,2,5,0.5805330243337196,0.48474855729596045,0.4545454545454546,0.6386467180381349,1.0,0.0033979360684621013,0.0710805859583623,0.0,0.054569042406551554,0.5978328818503855,0.2669497274927068,0.46154306232430753
4856,1769,1309,0.7222222222222221,93,5,15,0.5480880648899188,0.7073371805441055,0.0,0.7933517070701389,1.0,0.022275358671029435,0.08938192632426373,0.001069246435845217,0.04717019378902135,0.8072515107314026,0.47425880277708676,0.35314220188216566
7611,2170,3769,0.7666666666666666,37,5,15,0.4495944380069525,0.33532563891178896,0.36363636363636365,0.6463524382698689,1.0,0.014472690661968282,0.29322447979198346,4.796334012235892e-06,0.1496391794372821,0.2717232756824338,0.5866030439403878,0.5603474767307324
187,680,3416,0.6555555555555556,192,2,5,0.5886442641946698,0.909315746084089,0.6363636363636364,0.7537263063164407,1.0,0.03775484520513466,0.3316471833226053,0.8767820773930756,0.0641976810184059,0.10814753073556993,0.48501775254980894,0.3725846469237956
1571,680,2611,0.711111111111111,192,2,5,0.6118192352259559,0.6547815333882936,0.8181818181818182,0.727965577366556,1.0,0.01371759375786559,0.0486336381062622,0.8778004073319757,0.3371442471418148,0.5196916024171704,0.4953300617381669,0.5557812761025189
4803,680,221,0.8222222222222222,85,2,5,0.5735805330243336,0.6887881286067601,0.18181818181818182,0.7217785027279374,1.0,0.13918952932292983,0.019513273325159397,0.0,0.3270088380767049,0.4634298812252553,0.4841697008073453,0.5949342809471464
7139,680,2411,0.6888888888888889,192,2,5,0.5654692931633835,0.6784830997526794,0.8181818181818182,0.5724450194049159,0.0,0.028441983387868117,0.4843268736679707,0.9674134419551935,0.0959215113921998,0.09147739112315068,0.3945249779506547,0.6461442003683485
1415,1479,5361,0.0,30,5,0,0.630359212050985,0.9227122835943942,0.7272727272727273,0.8542381461274537,1.0,0.3518751573118551,0.010615384086489071,0.000664969450101846,0.2560609746209358,0.6676390914773912,0.4679153757434587,0.4220806942934867
278,2151,7376,0.6555555555555556,243,0,4,0.7844727694090382,0.5661582852431987,0.6363636363636364,0.7181506271443838,0.0,0.025673294739491564,0.22547918672483455,0.9429735234215889,0.28748074272277635,0.8041258595540739,0.4969978968316787,0.2778493896264337
323,1981,4148,0.3888888888888889,30,5,0,0.24217844727694093,0.7506183017312449,0.18181818181818182,0.8261994487878958,1.0,0.01195570098162596,0.002748841100482846,0.0,0.24288494283629292,0.3675765784538446,0.5075702752210589,0.3419226303295543
437,1638,4269,0.8,191,4,20,0.5828505214368481,0.660964550700742,1.0,0.6739411665448,0.0,0.016234583438207897,0.0016669386589626967,0.01109979633401223,0.3259952971701939,0.7770368826838926,0.521003414821683,0.37131832028164424
497,3028,2974,0.6666666666666667,292,0,4,0.5052143684820394,0.8753091508656226,0.09090909090909094,0.8019573654311265,1.0,0.016234583438207897,0.05914932538832711,0.9083503054989818,0.0661234087407768,0.5905396957699521,0.78553902168751,0.5192001105457786
512,2671,237,0.8333333333333333,210,5,7,0.5098493626882967,0.9814509480626546,0.09090909090909094,0.8885482873052477,0.0,0.13289705512207403,0.006692223831257144,0.0,0.21146517473445234,0.7134819754115441,0.3635823967072978,0.461103766599913
624,210,4171,0.7666666666666666,200,5,15,0.3557358053302433,0.8413025556471558,1.0,0.8654592496765847,0.0,0.0421595771457337,0.14458928455510447,5.162932790223063e-06,0.2063974702018974,0.29777036882683894,0.4493995793663358,0.5095830402976487
631,1881,1472,0.8555555555555555,286,2,17,0.7682502896871379,0.8639736191261336,0.27272727272727276,0.8599752517014455,0.0,0.02932292977598791,0.049644761883383834,8.126272912425958e-06,0.1901808156977216,0.9208168368410088,0.5752278432348087,0.4664103764537492
1046,2311,3729,0.8888888888888888,37,5,15,0.5816917728852838,0.9371393239901072,0.8181818181818182,0.8673434951347094,1.0,0.02919708029197081,0.018097700037189107,0.0,0.159774588502392,0.8791414878099606,0.30722653158144686,0.489014513258275
1758,1267,7968,0.8222222222222222,206,5,15,0.6129779837775202,0.7866859027205277,0.36363636363636365,0.7577197817650037,0.0,0.017115529826327705,0.05682374070094738,0.012321792260692473,0.11112462498986461,0.661387789122734,0.3021947579094959,0.41363920415289146
1847,1756,3391,0.8555555555555555,89,2,5,0.7497103128621089,0.8021434460016489,0.09090909090909094,0.8596940210360537,1.0,0.01585703498615655,0.0721928221131961,0.2851323828920571,0.34322549258088064,0.5499062304646802,0.3727130871344897,0.4078376132011459
