user,favorite_song_1,favorite_song_2,favorite_song_3,favorite_song_4,favorite_song_5,favorite_song_6,favorite_song_7,favorite_song_8,favorite_song_9,favorite_song_10,favorite_song_11,favorite_song_12,favorite_song_13,favorite_song_14,favorite_song_15,favorite_song_16,favorite_song_17,favorite_song_18,favorite_song_19,favorite_song_20
016a8eb7c9e5f511bd3749552ab19e56,(I Can't Get No) Satisfaction - Mono Version,21 Guns,Aerials,Alejandro,All Star,American Idiot,B.Y.O.B.,Bad Romance,Beat It - Single Version,Better,Boom Boom Guetta - David Guetta's Electro Hop Remix,Boom Boom Pow,Break Your Heart,Bring Me To Life,Bumpy Ride,Chinese Democracy,Chop Suey!,Clocks,Crazy,Cry Me a River
016da9e169a8201d0c089f4f05b54956,But Not Tonight,Just Can't Get Enough,People Are People,Personal Jesus,Precious,Tania,Cherry Bomb,Escape (The Pina Colada Song),Fooled Around And Fell In Love,Hooked on a Feeling,I'm Not In Love,C.R.E.A.M.,California Love - Original Version (Explicit),Changes,Dear Mama,Express Yourself,Get Low,Hate It Or Love It,Hip Hop Hooray,Hypnotize
01957b56d1ffbbe29f527f0334930d4e,Just A Dream - Main,Love You Like A Love Song,Mistletoe,Our Song,Replay,Skyscraper,We Found Love,Who Says,Year 3000,A Year Without Rain,As Long As You Love Me,Call Me Maybe,Daylight,Diamonds,Eenie Meenie,Glad You Came,Little Talks,One More Night,Payphone,Ready or Not
019b290d15832df362239b8664ddb1d9,All Night Long (All Night) - Single Version,Don't Dream It's Over,Let's Get It On,The Boys Of Summer,Golden Skans,I Bet You Look Good On The Dancefloor,Men's Needs,Teenage Dirtbag,What You Know,What's My Age Again?,6 Man,Jungle,No Tellin',Used To,BTSTU (Edit),Childs Play (feat. Chance the Rapper),ID - Ultra Music Festival Anthem,Loud Places,jasmine (demo),Confessions
01a729170a5f0e97ddf0a6613ae1be35,Lost!,Paradise,Viva La Vida,9 Crimes,Cannonball,The Blower's Daughter,Instant Crush,Moves Like Jagger - Studio Recording From The Voice Performance,Walk,A-Punk,Can't Hold Us - feat. Ray Dalton,Domino,Elephant,Harlem,I Love It (feat. Charli XCX) - Original Version,I Wanna Get Better,Marry You,My Songs Know What You Did In The Dark (Light Em Up),Scream & Shout,Seven Nation Army
01ad7fc79498ab698b3f0e0f2c5c818e,Club Can't Handle Me (feat. David Guetta),Dynamite,"Hey, Soul Sister",OMG (feat. will.i.am),Banana Pancakes,Better Together,Brick,Daylight,Fireflies,I Go Blind,Intro,Ramblin' Man,Sex on Fire,Take On Me,Time to Pretend,A Milli,Alejandro,Bad Romance,Be Somebody,Best I Ever Had
01ad9b92d7945296eaded1e2721bedac,Bizarre Love Triangle,Black Skinhead,Blue Orchid,Can I Kick It?,Close To Me,Cut to Black,Electric Feel,I See Fire,I'm Shipping Up To Boston,Insane in the Brain,Just Ain't Gonna Work Out,Kids,Lisztomania,Lonely Boy,Love Will Tear Us Apart,Lust For Life,Odessa,Prayer in C - Robin Schulz Radio Edit,Ruby,Seven Nation Army
01ae27762c085ae2d6f202325debe054,Abriendo Puertas,All I Want For Christmas Is You,Angel,Do You Hear What I Hear,Give Love On Christmas Day,Mistletoe,Tres Deseos (Three Wishes),A Thousand Miles,All Star,Alone,Because the Night,Can't Fight This Feeling,Every You Every Me,In My Head,Runaway,The Trooper - 1998 Remastered Version,Uprising,Wait (The Whisper Song),(Everything I Do) I Do It For You,Bridge over Troubled Water
01b522c3f4ca191b4ecffbffd4faff44,Dark Horse,All of Me,Geronimo,Say Something,The Safety Dance,Do I Wanna Know?,Fluorescent Adolescent,I Bet You Look Good On The Dancefloor,Piledriver Waltz,Red Right Hand,When The Sun Goes Down,Who The Fuck Are Arctic Monkeys?,Why'd You Only Call Me When You're High?,No Rain,9 Crimes,Roar,Unconditionally,Awake,God Save The Queen,Imagine
01c217d12d067ac0da705637467720e5,I Was Made For Lovin' You,Walk Like an Egyptian,...Baby One More Time,All Star,All The Small Things,Bizarre Love Triangle,Call Me,Call Me Maybe,Complicated,Crazy Little Thing Called Love - Remastered 2011,Creep,Don't Speak,Fast Car,Friday I'm In Love,Gangsta's Paradise (feat. L.V.),I'm Yours,Like a Stone,Losing My Religion,Lovefool,Never Gonna Give You Up
01d0ffb3f21ebe904adc4c03544055b4,Black Betty,Carry on Wayward Son,Don't Bring Me Down,Flirtin' With Disaster,Free-For-All,Hot Blooded,I Wanna Rock,Living After Midnight,Long Cool Woman (In a Black Dress),Metal Health (Bang Your Head),Mississippi Queen,Roll with the Changes,School's Out,Simple Man,Slow Ride,Smokin',Surrender,Takin' Care Of Business,Two Tickets To Paradise,We're An American Band
01d3734cad83582b798e41e0c5c0f7ff,A Horse with No Name,All I Can Do Is Write About It,Amanda,Bad Moon Rising,Born On The Bayou,Breakfast In America,Call Me The Breeze,Carry on Wayward Son,Chinatown,Cinnamon Girl,Cotton Fields,Do It Again,Don't Believe A Word,Double Trouble,Down On The Corner,Dust in the Wind,For What It's Worth,Foreplay / Long Time,Fortunate Son,Gimme Three Steps
01da507b814ffa33019ac2a133fdf43b,Adrenalina,Bad (feat. Vassy) - Radio Edit,Bailando - Spanish Version,Bang Bang,Humanos a Marte,I Love It - Tiësto's Club Life Remix,Problem,Roar,Rolling In The Deep,Summer,Talk Dirty (feat. 2 Chainz),The Monster,Black Hole Sun,Iron Man,Psychosocial,The Passenger,Toxicity,Barracuda,Black Magic Woman,Danza Kuduro
01e548fe58a4aeef36544080bc8977d0,Baba O'Riley - Remixed Version,The Final Countdown,Bette Davis Eyes,Society,Brown Sugar,More Than a Feeling,California Stars,All Right Now,American Pie,Born in the U.S.A.,Brown Eyed Girl,Bubbly,Comatose,Don't Speak,Everybody Hurts,Fast Car,Feel,Give A Little Bit,Gold Digger,Hallelujah
01e55d8ea1461b270889e4d205205eb9,Black Mambo,My Type,Riptide,Sweater Weather,Thinkin Bout You,Asleep At The Wheel,Avant Gardener,Change Of Coast,Cool Kids,Heaven Knows,Old Love / New Love,Radioactive - Live London Sessions / 2013,This Is Gospel,You're Not Good Enough,Coffee,Rather Be (feat. Jess Glynne),Take Me To Church,Alone Together,Counting Stars,One For the Money
