track_id,track_name,artist_name_x,artist_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,art pop,dance pop,edm,k-pop,pop,rap,romanian pop,russian alt pop,russian dance,russian edm,russian gangster rap,russian hip hop,russian pop,russian trap
206,53,164,56,2.022250324631879,-1.5139178330293586,-0.6256149234962753,0.10519001377301587,-0.703947159771239,-0.6820855090904878,-0.8220445010743198,0.4340788308128492,-0.22683757476479985,-0.4198693691417367,0.1253008586373425,1.5470294818315284,1.8323918675586413,-3.8561809151454636,1,1,0,0,1,0,0,0,0,0,0,0,0,0
277,198,62,95,1.250501184412324,0.01793438196385588,-0.5485114752160204,-0.7262156720098597,-0.7215105416309241,1.4660918413784048,-0.7173329756528445,-0.5748185923045489,-0.22683757476479985,-0.5007610912236069,-0.7668526842072805,0.6297889582334648,-0.618155284625019,0.13850177199955438,1,0,0,0,1,0,0,0,0,0,0,0,0,0
113,200,246,307,1.3276760984342795,-0.3126232012715215,1.6033756722420014,-1.5576213577927351,1.0094069600669728,-0.6820855090904878,-0.4799177348457375,-0.585774513329903,-0.22683757476479985,1.0523599727483013,1.2678036099332628,-0.2620061603581325,-0.5389416701363929,0.13850177199955438,0,0,0,0,1,0,0,0,0,0,0,0,0,0
476,22,52,303,1.945075410609923,0.3081800648046758,-1.2214142965709716,-1.0033509006041514,-1.8104402169313896,1.4660918413784048,-0.7660601211460064,-0.08037311298639052,0.3877180162797257,-0.46031523018267173,-0.3162241089949455,-0.5831086804081517,0.7949271640039899,0.13850177199955438,1,0,0,0,1,0,0,0,0,0,0,0,0,0
36,81,61,320,1.8293130395769899,-0.07075179890417242,-0.6957089673874162,1.4908661567444752,0.13585980967738018,-0.6820855090904878,-0.7681336166989069,-0.7939370128116324,-0.22683757476479985,-0.6940923069992767,1.2632518061432392,-0.11142403215240208,0.9971944682373958,0.13850177199955438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,212,276,67,1.7135506685440567,0.48555242654073244,0.2856076470885547,1.4908661567444752,0.3554020829234417,-0.6820855090904878,-0.6115847024549191,-0.7548767726342828,-0.22681169873991378,-0.508850263431794,0.28461399128816767,0.01966201164868843,1.9412257965040038,0.13850177199955438,0,0,0,0,1,0,0,0,0,0,0,0,0,0
427,4,234,157,1.5592008405001458,0.5500514671720257,0.7131813148245137,-1.5576213577927351,0.8212938964645579,-0.6820855090904878,1.5583283936554533,-0.8982564347487005,-0.22683757476479985,1.4649077553658392,1.9642295898068711,1.1875779627670224,-0.22145913087449365,0.13850177199955438,0,0,0,1,0,0,0,0,0,0,0,0,0,0
363,101,114,206,1.6363757545221014,-1.4413564123191536,-1.9293641398714931,1.2137309281501834,-0.5791547097155827,1.4660918413784048,-0.7950890588866133,2.0917573163881777,-0.22683757476479985,-0.3308884748516794,-0.7714044879973041,-0.14245697475112723,-0.542283062691733,-3.8561809151454636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,156,246,307,1.674963211533079,-0.3206855813504331,-0.6676713498309599,0.9365956995558914,0.08363185835779056,1.4660918413784048,-0.5773720258320609,0.27212173739457013,-0.22683757476479985,-0.5654744688891031,0.32558022539838,-0.49897403162689336,0.1917681228866616,0.13850177199955438,0,0,0,0,1,0,0,0,0,0,0,0,0,0
148,109,264,174,1.4820259264781903,0.36461672535705747,-1.172348465847173,-1.2804861291984433,-0.678064281241177,-0.6820855090904878,-0.6489076224071281,-0.9106413889512748,-0.22643528344039898,-0.753143264119042,-0.6576093932467145,-0.18036379453169402,-0.5579850953766018,0.13850177199955438,0,0,0,0,1,0,0,0,0,0,0,0,0,0
163,3,251,169,1.5592008405001458,0.10662056283188419,0.1944853900300716,0.9365956995558914,0.602676011737427,1.4660918413784048,-0.8541836821442775,-0.7315358974063543,-0.22683757476479985,-0.7563789330023168,0.43937532014896974,-1.5464966367825579,-0.18691465896778228,0.13850177199955438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,54,20,196,1.5592008405001458,-0.3206855813504331,-0.8429064595588112,1.2137309281501834,-0.13128847229361712,1.4660918413784048,-0.7111124889941431,1.3248428446133849,-0.12960032499755747,-0.6350413498795114,1.5181528183845596,1.2294643956528664,-0.22696112312727168,0.13850177199955438,0,0,0,0,0,0,0,0,0,0,0,0,0,0
